year,gdp,spread
1986,8832.61125,2.710720000000001
1987,9137.74475,2.18808
1988,9519.426749999999,1.9848000000000001
1989,9869.00325,1.6814800000000003
1990,10055.1285,1.8033200000000007
1991,10044.2375,1.9399599999999997
1992,10398.046250000001,1.964382470119522
1993,10684.17875,2.0564399999999994
1994,11114.64625,1.5407630522088356
1995,11413.01225,1.62376
1996,11843.599,1.614444444444444
1997,12370.299500000001,1.5120800000000003
1998,12924.87575,1.9572399999999999
1999,13543.774000000001,2.2291235059760957
2000,14096.033,2.336693227091633
2001,14230.726,2.9256275303643737
2002,14472.711500000001,3.189759999999999
2003,14877.3125,2.748680000000001
2004,15449.757249999999,2.120639999999998
2005,15987.9575,1.7731999999999983
2006,16433.1475,1.6879600000000008
2007,16762.4455,1.8474900398406382
2008,16781.48475,3.773067729083664
2009,16349.1105,4.027479999999999
2010,16789.750500000002,2.823505976095618
2011,17052.410499999998,2.8799999999999972
2012,17442.759250000003,3.1355600000000026
2013,17812.166999999998,2.75088
2014,18261.714249999997,2.3127199999999983
2015,18799.622000000003,2.8624701195219147
2016,19141.67225,2.870440000000001
2017,19612.1025,2.110722891566266
2018,20193.895249999998,1.886827309236946
2019,20715.6715,2.231400000000002
2020,20284.5,2.7155378486055803
2021,21532.407,1.95112449799197
2022,22075.93125,2.123493975903614
2023,22723.71875,1.9067068273092351
2024,23358.43475,1.547040000000001
2025,23850.44225,1.7046184738955819
