year,cereal_yield,temp
1961,1421.61931441335,0.04
1962,1510.86319369065,0.016
1963,1576.09410405956,0.049
1964,1576.94632511776,-0.223
1965,1625.01496915492,-0.14
1966,1665.76421008332,-0.069
1967,1748.66530142392,-0.074
1968,1765.70773566302,-0.112
1969,1789.41003893558,0.031
1970,1816.38862348586,-0.027
1971,1965.6043414344,-0.187
1972,1953.46956740206,-0.067
1973,1985.43788569294,0.062
1974,1966.86774687546,-0.213
1975,2080.38963682139,-0.147
1976,2088.67769251362,-0.24
1977,2135.93467177796,0.046
1978,2296.36694515943,-0.063
1979,2331.5755099258,0.058
1980,2297.40844974315,0.093
1981,2438.72135679948,0.14
1982,2534.28800407778,0.011
1983,2443.62476643272,0.193
1984,2691.79118326562,-0.013
1985,2695.35947081804,-0.03
1986,2690.08652129414,0.046
1987,2677.48752263924,0.191
1988,2600.40810185873,0.199
1989,2754.99566633829,0.118
1990,2870.94913188413,0.296
1991,2860.83456864868,0.254
1992,2781.7240557107,0.103
1993,2732.42611624442,0.145
1994,2810.91982481182,0.206
1995,2762.64905021341,0.321
1996,2922.35648723789,0.18
1997,2986.92117594616,0.389
1998,3046.48336847218,0.536
1999,3107.40433487581,0.306
2000,3060.9449358139,0.293
2001,3132.64450217769,0.439
2002,3075.82204340635,0.497
2003,3119.3050101833,0.508
2004,3358.68331902324,0.448
2005,3275.6350320339,0.544
2006,3281.10352223039,0.505
2007,3370.91280101555,0.492
2008,3544.8247085824,0.394
2009,3557.60050109999,0.506
2010,3562.69190601327,0.556
2011,3656.14439082207,0.421
2012,3611.6817052139,0.469
2013,3829.65775177121,0.512
2014,3894.46497746712,0.575
2015,3932.2284506646,0.76
2016,4016.96327564588,0.773
2017,4066.36009915271,0.793
