year,gdp,co2
1960,11078650356186.5,9386.951
1961,11512248576346.7,9414.99
1962,12124837374807.8,9747.241
1963,12733441858139.7,10266.777
1964,13577635041682.4,10824.47
1965,14342184589594.3,11310.603
1966,15119371174428.4,11862.625
1967,15684543249429.4,12237.371
1968,16617338011296.5,12905.273
1969,17607949788446.4,13761.798
1970,18270953231134.0,14899.139
1971,19021702761108.1,15503.862
1972,20075079346231.8,16224.579
1973,21371473168822.6,17077.285
1974,21797173060901.1,16997.912
1975,21974707391344.7,16988.477
1976,23122051557706.6,17862.492
1977,24033395371554.0,18358.039
1978,25027685013912.5,19024.742
1979,26064050746546.4,19508.59
1980,26537198843810.2,19409.793
1981,27038267577082.4,18879.756
1982,27149421809913.0,18729.742
1983,27849028595890.0,18901.775
1984,29165763942448.7,19457.25
1985,30233209211757.3,20144.863
1986,31232431070054.6,20438.045
1987,32404086739527.5,21106.189
1988,33871724575563.2,21918.756
1989,35104060312854.2,22200.213
1990,36054803450838.3,22732.145
1991,36496540148779.4,23205.592
1992,37249545850069.7,22520.424
1993,37941652466089.8,22749.873
1994,39237825663961.5,22974.598
1995,40484832492067.8,23516.639
1996,41936713327029.1,24233.477
1997,43612835337831.4,24380.322
1998,44825818551442.8,24295.713
1999,46429941035573.1,24837.771
2000,48550490166230.6,25511.482
2001,49536038159389.3,25692.994
2002,50684736953402.6,26265.332
2003,52242868476707.5,27652.691
2004,54591383204955.8,28610.023
2005,56807330097271.8,29598.951
2006,59357487895115.9,30594.152
2007,61987756942770.2,31499.256
2008,63284295644439.1,32049.66
2009,62440691845650.1,31513.014
2010,65263543198396.9,33317.672
2011,67426584814614.5,34479.988
2012,69279085457391.3,34954.734
2013,71281076205614.5,35275.82
2014,73539611353222.6,35465.695
2015,75839351828606.2,35403.527
2016,77955073125299.9,35392.832
2017,80641861942532.2,35974.609
2018,83292262266946.2,36734.004
2019,85524752058522.0,37086.566
2020,83056326526016.6,35158.23
2021,88442603118342.5,36866.863
2022,91485038370116.5,37527.773
2023,94100947773550.0,38094.039
2024,96829887869984.7,38598.578
