iso,year,log_gdppc,gini
ALB,1996,7.4287904012862755,27.0
ALB,2002,7.739406452395294,31.7
ALB,2005,7.905762334472726,30.6
ALB,2008,8.115515387692694,30.0
ALB,2012,8.2353202979289,29.0
ALB,2014,8.305266334335276,34.6
ALB,2015,8.342730067120554,32.8
ALB,2016,8.396506123719536,33.7
ALB,2017,8.444241950183459,33.1
ALB,2018,8.495729230969024,30.1
ALB,2019,8.53157654989607,30.1
ALB,2020,8.513309056972297,29.4
ARG,1980,9.237546768935978,40.8
ARG,1986,9.146171773229526,42.8
ARG,1987,9.157409818683082,45.3
ARG,1991,9.074500394927384,46.8
ARG,1992,9.137036821690298,45.5
ARG,1993,9.202376099770508,44.8
ARG,1994,9.24569716059452,45.9
ARG,1995,9.203729343343023,48.9
ARG,1996,9.244948540627123,49.5
ARG,1997,9.310790784763434,49.1
ARG,1998,9.336814614986345,50.7
ARG,1999,9.290843275402365,49.8
ARG,2000,9.271590714591147,51.0
ARG,2001,9.215521411810418,53.3
ARG,2002,9.089478325218936,53.8
ARG,2003,9.163828464434127,51.0
ARG,2004,9.240136673356535,48.5
ARG,2005,9.314677947324345,47.8
ARG,2006,9.381793005097167,46.4
ARG,2007,9.45812987103844,46.3
ARG,2008,9.487771863276931,45.0
ARG,2009,9.416165091577739,43.8
ARG,2010,9.502050972116228,43.7
ARG,2011,9.54970975869115,42.7
ARG,2012,9.529115900298596,41.4
ARG,2013,9.54295482571449,41.1
ARG,2014,9.507190185666095,41.8
ARG,2016,9.492951061469718,42.3
ARG,2017,9.511933706412325,41.4
ARG,2018,9.477181411867754,41.7
ARG,2019,9.449860910237419,43.3
ARG,2020,9.340758851642148,42.7
ARG,2021,9.437418665623444,42.4
ARG,2022,9.493775178375971,40.7
ARG,2023,9.472173178879085,42.4
ARG,2024,9.455194584790855,42.4
ARM,1996,6.903474404419655,44.4
ARM,1999,7.073653897855953,36.2
ARM,2001,7.208689695141339,35.4
ARM,2002,7.3364188946968705,34.8
ARM,2003,7.472868413519926,33.0
ARM,2004,7.57825934040802,37.5
ARM,2005,7.714272542250184,36.0
ARM,2006,7.844411406664453,29.7
ARM,2007,7.97912431526816,31.2
ARM,2008,8.052402172085555,29.2
ARM,2009,7.9072741735352015,28.0
ARM,2010,7.935974228208692,30.0
ARM,2011,7.9874690677133895,29.4
ARM,2012,8.058250913748191,29.6
ARM,2013,8.09141276658874,30.6
ARM,2014,8.129497033280357,31.5
ARM,2015,8.164052993685441,32.4
ARM,2016,8.170153121527093,32.5
ARM,2017,8.246794167624104,33.6
ARM,2018,8.30098402411806,34.4
ARM,2019,8.376426175164447,30.0
ARM,2020,8.302040238703432,25.1
ARM,2021,8.35815047524684,27.9
ARM,2022,8.474495442334888,27.9
ARM,2023,8.555882049724369,27.2
ARM,2024,8.59013096483468,27.4
AUS,1981,10.352432346246104,31.3
AUS,1985,10.402421434365568,32.5
AUS,1989,10.497702855820949,33.2
AUS,1995,10.581713075659758,32.6
AUS,2001,10.743213033182606,33.5
AUS,2003,10.789518298688597,33.5
AUS,2004,10.820150024274179,33.1
AUS,2008,10.887386003649693,35.4
AUS,2010,10.89244027811907,34.7
AUS,2014,10.94326601733858,34.4
