year,energy,cpi
1992,47.936577495491456,140.3083333333333
1993,44.90737602240384,144.475
1994,42.342944681419624,148.225
1995,45.62211651406607,152.38333333333335
1996,54.30553753370513,156.85833333333332
1997,51.01919417553997,160.525
1998,37.29567548520141,163.00833333333335
1999,45.86766662947212,166.58333333333331
2000,73.62051579647509,172.1916666666667
2001,66.35647174833564,177.04166666666666
2002,62.519301496007586,179.86666666666667
2003,77.4350568389599,184.0
2004,98.08459347050898,188.9083333333333
2005,135.5778677983914,195.26666666666665
2006,153.20178300702284,201.55833333333337
2007,168.02694601758,207.34416666666667
2008,232.5568981367782,215.25424999999998
2009,142.7716988833134,214.56466666666668
2010,178.52656272879608,218.07616666666672
2011,231.5117667275135,224.923
2012,228.12097589273318,229.58608333333328
2013,225.87989274019665,232.95174999999998
2014,212.32069537853957,236.715
2015,118.98212120698146,237.00175
2016,100.0,240.00541666666666
2017,123.30069794743014,245.121
2018,156.5347571706772,251.09949999999995
2019,129.28497919435287,255.65258333333335
2020,91.70489262711448,258.85574999999994
2021,183.08872269892083,270.9734166666667
2022,299.51108416285524,292.62641666666667
2023,189.50501492248767,304.703
2024,179.50369051021775,313.6981666666666
