year,quarter,energy,cpi
1992,1,44.09789234186395,138.66666666666666
1992,2,48.33705269438074,139.73333333333335
1992,3,50.26404305461665,140.79999999999998
1992,4,49.04732189110448,142.03333333333333
1993,1,46.779917179897694,143.06666666666666
1993,2,47.28759421066548,144.1
1993,3,44.07374885127981,144.76666666666668
1993,4,41.48824384777236,145.96666666666667
1994,1,39.51561967913696,146.70000000000002
1994,2,42.58704146663675,147.53333333333333
1994,3,43.91987300600484,148.9
1994,4,43.349244573899945,149.76666666666668
1995,1,44.866542072213754,150.86666666666665
1995,2,47.124863955595494,152.1
1995,3,44.04920154860045,152.86666666666667
1995,4,46.44785847985455,153.70000000000002
1996,1,51.561323056813535,155.06666666666666
1996,2,51.20434588554142,156.4
1996,3,53.06589910270285,157.29999999999998
1996,4,61.390582089762724,158.66666666666666
1997,1,55.16818422978425,159.63333333333335
1997,2,48.87824241537775,160.0
1997,3,49.6641194747912,160.8
1997,4,50.3662305822067,161.66666666666666
1998,1,40.288869784769524,162.0
1998,2,38.46948179748597,162.53333333333333
1998,3,36.49252280667242,163.36666666666667
1998,4,33.93182755187775,164.13333333333333
1999,1,33.107413324430915,164.73333333333332
1999,2,41.787665443242076,165.96666666666667
1999,3,51.31008219309493,167.2
1999,4,57.26550555712057,168.43333333333334
2000,1,65.11588061205698,170.1
2000,2,68.41304359864021,171.4333333333333
2000,3,77.47351995651036,173.0
2000,4,83.47961901869282,174.23333333333335
2001,1,77.00172136145903,175.9
2001,2,72.29822221410978,177.13333333333335
2001,3,64.42304599363062,177.63333333333333
2001,4,51.702897424143146,177.5
2002,1,53.32751127992292,178.0666666666667
2002,2,62.74335164147715,179.46666666666667
2002,3,65.27136810006427,180.4333333333333
2002,4,68.73497496256603,181.5
2003,1,83.64520835287404,183.36666666666667
2003,2,73.30999790943737,183.0666666666667
2003,3,74.80780127466305,184.4333333333333
2003,4,77.97721981886508,185.13333333333333
2004,1,85.4140604076661,186.70000000000002
2004,2,94.06901154175993,188.16666666666666
2004,3,102.93667435149824,189.36666666666665
2004,4,109.9186275811117,191.4
2005,1,114.9754489345077,192.36666666666667
2005,2,125.62238544154975,193.66666666666666
2005,3,149.91381798589782,196.6
2005,4,151.7998188316102,198.4333333333333
2006,1,148.5620480488627,199.4666666666667
2006,2,160.02134986789457,201.26666666666665
2006,3,160.15735456009736,203.16666666666666
2006,4,144.06637955123668,202.33333333333334
2007,1,142.67935106831,204.317
2007,2,158.96553353267595,206.631
2007,3,169.38494517080105,207.939
2007,4,201.07795429853294,210.4896666666667
2008,1,223.6516581784931,212.76966666666667
2008,2,279.746685134066,215.53766666666664
2008,3,273.01554688418696,218.86100000000002
2008,4,153.81370235036687,213.84866666666667
2009,1,120.6481996110753,212.37766666666667
2009,2,135.38936282202158,213.50699999999998
2009,3,148.96523378655618,215.34399999999997
2009,4,166.0839993136005,217.03
2010,1,175.9608007452687,217.37400000000002
2010,2,176.25535778998108,217.29733333333334
2010,3,171.63131126943105,217.93433333333334
2010,4,190.2587811105036,219.69899999999998
2011,1,219.59167409735673,222.0436666666667
2011,2,241.9275926838654,224.56833333333336
2011,3,233.34162199241328,226.03266666666664
2011,4,231.18617813641845,227.04733333333334
2012,1,242.8438955514804,228.32600000000002
2012,2,225.08664024258613,228.808
2012,3,223.08500355802562,229.841
2012,4,221.46836421884072,231.36933333333332
2013,1,227.3210059814734,232.29933333333335
2013,2,218.7575379215973,232.045
2013,3,229.5335204926375,233.29999999999998
2013,4,227.9075065650785,234.1626666666667
2014,1,229.46450850434894,235.621
2014,2,230.69254444112212,236.87233333333333
2014,3,216.9077077217843,237.47833333333332
2014,4,172.21802084690293,236.88833333333332
2015,1,127.99715127953743,235.35500000000002
2015,2,134.0563985730315,236.96
2015,3,113.73048632228036,237.85500000000002
2015,4,100.14444865307667,237.837
2016,1,81.02994330167947,237.68933333333334
2016,2,100.24012880781301,239.59033333333332
2016,3,103.26084167503514,240.6073333333333
2016,4,115.46908621547237,242.13466666666667
2017,1,123.07228568994503,243.83866666666668
2017,2,113.8647871232735,244.12
2017,3,118.15622221214534,245.287
2017,4,138.10949676435672,247.23833333333332
2018,1,149.10555280949637,249.3216666666667
2018,2,159.27654338405318,250.679
2018,3,166.74900264527489,251.68633333333332
2018,4,151.0079298438845,252.711
2019,1,135.05368074149067,253.38566666666665
2019,2,134.1392683788268,255.24733333333333
2019,3,121.76935135938982,256.08933333333334
2019,4,126.17761629770406,257.888
2020,1,102.80853324844203,258.81766666666664
2020,2,68.76652505749905,256.292
2020,3,90.31376279972413,259.22166666666664
2020,4,104.9307494027927,261.0916666666667
2021,1,139.41590968959173,263.74233333333336
2021,2,156.2154431704462,268.5503333333333
2021,3,192.67849832805757,272.8296666666667
2021,4,244.0450396075878,278.77133333333336
2022,1,277.7365000951614,284.90566666666666
2022,2,311.77721241862537,291.6053333333333
2022,3,350.12388884547596,295.453
2022,4,258.4067352921582,298.5416666666667
2023,1,203.67137773524007,301.23033333333336
2023,2,175.8057866432495,303.3976666666667
2023,3,189.25054852500557,305.98900000000003
2023,4,189.29234678645568,308.195
2024,1,175.5706393248505,311.00333333333333
2024,2,185.81747981725871,313.0806666666667
2024,3,179.36104370928044,314.12100000000004
2024,4,177.26559918948126,316.5876666666666
2025,1,181.50721860782792,319.47499999999997
2025,2,160.24526998153468,320.78566666666666
2025,3,160.39838114651735,323.235
2026,1,185.04735622908552,328.1136666666667
2026,2,220.05465943921067,332.98466666666667
