year,unrate,gdp
1948,3.75,2274.6265
1949,6.05,2261.92775
1950,5.208333333333333,2458.53175
1951,3.2833333333333337,2656.3199999999997
1952,3.0250000000000004,2764.803
1953,2.9250000000000003,2894.4117499999998
1954,5.591666666666666,2877.7077499999996
1955,4.366666666666667,3083.02575
1956,4.125,3148.765
1957,4.3,3215.06525
1958,6.841666666666666,3191.2160000000003
1959,5.45,3412.42125
1960,5.541666666666667,3500.2725
1961,6.691666666666666,3590.0662500000003
1962,5.566666666666667,3810.12325
1963,5.641666666666667,3976.14175
1964,5.158333333333333,4205.27725
1965,4.508333333333334,4478.555249999999
1966,3.7916666666666665,4773.931250000001
1967,3.8416666666666663,4904.8637499999995
1968,3.558333333333333,5145.91425
1969,3.4916666666666667,5306.5945
1970,4.983333333333333,5316.39125
1971,5.95,5491.4455
1972,5.6000000000000005,5780.048250000001
1973,4.8583333333333325,6106.3705
1974,5.641666666666667,6073.36275
1975,8.475,6060.87525
1976,7.699999999999999,6387.4365
1977,7.050000000000001,6682.804500000001
1978,6.066666666666666,7052.71125
1979,5.8500000000000005,7275.99925
1980,7.175000000000001,7257.3165
1981,7.616666666666667,7441.485
1982,9.708333333333332,7307.314
1983,9.6,7642.2654999999995
1984,7.508333333333334,8195.29525
1985,7.191666666666666,8537.00375
1986,7.0,8832.61125
1987,6.175000000000001,9137.74475
1988,5.491666666666666,9519.426749999999
1989,5.258333333333333,9869.00325
1990,5.616666666666666,10055.1285
1991,6.849999999999999,10044.2375
1992,7.491666666666667,10398.046250000001
1993,6.908333333333332,10684.17875
1994,6.1000000000000005,11114.64625
1995,5.591666666666668,11413.01225
1996,5.408333333333334,11843.599
1997,4.941666666666666,12370.299500000001
1998,4.5,12924.87575
1999,4.216666666666668,13543.774000000001
2000,3.9666666666666663,14096.033
2001,4.741666666666666,14230.726
2002,5.783333333333334,14472.711500000001
2003,5.991666666666667,14877.3125
2004,5.541666666666667,15449.757249999999
2005,5.083333333333333,15987.9575
2006,4.608333333333333,16433.1475
2007,4.616666666666667,16762.4455
2008,5.8,16781.48475
2009,9.283333333333333,16349.1105
2010,9.608333333333333,16789.750500000002
2011,8.933333333333334,17052.410499999998
2012,8.075000000000001,17442.759250000003
2013,7.358333333333334,17812.166999999998
2014,6.158333333333334,18261.714249999997
2015,5.275,18799.622000000003
2016,4.875,19141.67225
2017,4.358333333333333,19612.1025
2018,3.891666666666666,20193.895249999998
2019,3.6750000000000007,20715.6715
2020,8.100000000000001,20284.5
2021,5.350000000000001,21532.407
2022,3.650000000000001,22075.93125
2023,3.625,22723.71875
2024,4.025,23358.43475
