iso,year,log_gdppc,poverty
ALB,1996,7.4287904012862755,3.0
ALB,2002,7.739406452395294,4.2
ALB,2005,7.905762334472726,2.7
ALB,2008,8.115515387692694,0.8
ALB,2012,8.2353202979289,1.8
ALB,2014,8.305266334335276,3.7
ALB,2015,8.342730067120554,1.1
ALB,2016,8.396506123719536,1.1
ALB,2017,8.444241950183459,1.4
ALB,2018,8.495729230969024,1.0
ALB,2019,8.53157654989607,0.3
ALB,2020,8.513309056972297,0.3
ARG,1980,9.237546768935978,0.0
ARG,1986,9.146171773229526,1.3
ARG,1987,9.157409818683082,1.5
ARG,1991,9.074500394927384,1.3
ARG,1992,9.137036821690298,2.5
ARG,1993,9.202376099770508,2.9
ARG,1994,9.24569716059452,2.7
ARG,1995,9.203729343343023,5.1
ARG,1996,9.244948540627123,5.4
ARG,1997,9.310790784763434,5.2
ARG,1998,9.336814614986345,5.7
ARG,1999,9.290843275402365,5.9
ARG,2000,9.271590714591147,7.3
ARG,2001,9.215521411810418,10.7
ARG,2002,9.089478325218936,17.1
ARG,2003,9.163828464434127,8.2
ARG,2004,9.240136673356535,6.0
ARG,2005,9.314677947324345,4.4
ARG,2006,9.381793005097167,3.5
ARG,2007,9.45812987103844,2.8
ARG,2008,9.487771863276931,2.6
ARG,2009,9.416165091577739,2.4
ARG,2010,9.502050972116228,1.5
ARG,2011,9.54970975869115,1.2
ARG,2012,9.529115900298596,1.3
ARG,2013,9.54295482571449,1.1
ARG,2014,9.507190185666095,1.1
ARG,2016,9.492951061469718,1.3
ARG,2017,9.511933706412325,1.1
ARG,2018,9.477181411867754,1.6
ARG,2019,9.449860910237419,1.7
ARG,2020,9.340758851642148,2.2
ARG,2021,9.437418665623444,1.4
ARG,2022,9.493775178375971,1.3
ARG,2023,9.472173178879085,1.2
ARG,2024,9.455194584790855,1.0
ARM,1996,6.903474404419655,21.6
ARM,1999,7.073653897855953,21.2
ARM,2001,7.208689695141339,24.1
ARM,2002,7.3364188946968705,19.8
ARM,2003,7.472868413519926,14.8
ARM,2004,7.57825934040802,10.3
ARM,2005,7.714272542250184,6.1
ARM,2006,7.844411406664453,4.5
ARM,2007,7.97912431526816,3.7
ARM,2008,8.052402172085555,2.0
ARM,2009,7.9072741735352015,3.1
ARM,2010,7.935974228208692,2.9
ARM,2011,7.9874690677133895,3.1
ARM,2012,8.058250913748191,2.5
ARM,2013,8.09141276658874,2.9
ARM,2014,8.129497033280357,3.4
ARM,2015,8.164052993685441,2.9
ARM,2016,8.170153121527093,2.5
ARM,2017,8.246794167624104,2.4
ARM,2018,8.30098402411806,2.9
ARM,2019,8.376426175164447,2.4
ARM,2020,8.302040238703432,1.5
ARM,2021,8.35815047524684,2.1
ARM,2022,8.474495442334888,1.9
ARM,2023,8.555882049724369,1.9
ARM,2024,8.59013096483468,0.8
AUS,1981,10.352432346246104,1.1
AUS,1985,10.402421434365568,1.1
AUS,1989,10.497702855820949,0.8
AUS,1995,10.581713075659758,1.0
AUS,2001,10.743213033182606,0.9
AUS,2003,10.789518298688597,1.1
AUS,2004,10.820150024274179,0.7
AUS,2008,10.887386003649693,0.5
AUS,2010,10.89244027811907,0.5
AUS,2014,10.94326601733858,0.6
AUS,2016,10.96185059222698,0.5
AUS,2018,10.981432847810053,0.6
AUS,2020,10.974690395163083,0.9
AUT,1994,10.39758428367529,0.2
AUT,1995,10.42238335938929,0.1
AUT,1996,10.442948918143925,0.1
AUT,1997,10.463047113673522,0.2
AUT,1998,10.49628246235925,0.2
AUT,1999,10.531265730857301,0.2
AUT,2000,10.560258204241288,0.1
AUT,2003,10.585808554858044,0.4
AUT,2004,10.604933471077446,0.1
AUT,2005,10.621059338504935,0.2
AUT,2006,10.648281662827076,0.1
AUT,2007,10.682097270561812,0.4
AUT,2008,10.69339531968793,0.5
AUT,2009,10.654254275368153,0.7
AUT,2010,10.669778482664274,0.5
AUT,2011,10.695262034267998,0.5
AUT,2012,10.696965469540093,0.7
AUT,2013,10.688561184309245,0.3
AUT,2014,10.688275337993321,0.2
AUT,2015,10.690016418660566,0.7
AUT,2016,10.700153635335925,0.7
AUT,2017,10.715675612695888,0.3
AUT,2018,10.735343554098822,0.6
AUT,2019,10.748294360955562,0.6
AUT,2020,10.678875753026356,0.7
AUT,2021,10.72257647213907,0.5
AUT,2022,10.764950837219436,0.6
AUT,2023,10.747162675814796,0.5
AZE,1995,7.021359531605765,19.7
AZE,2001,7.40302248303462,11.4
AZE,2002,7.485757112532376,0.2
AZE,2003,7.5753826230351535,0.2
AZE,2004,7.655131796672319,0.0
AZE,2005,7.891468689996056,0.0
BEL,1985,10.154843678737068,0.3
BEL,1988,10.23747405573907,0.7
BEL,1992,10.32143689180028,0.9
BEL,1995,10.358016522704943,0.6
BEL,1997,10.404005262175595,0.4
BEL,2000,10.487888362969542,0.3
BEL,2003,10.513966726265327,0.4
BEL,2004,10.544728021573649,0.1
BEL,2005,10.562179420864767,0.3
BEL,2006,10.580786963637339,0.2
BEL,2007,10.609553039325432,0.2
