year,production_co2,consumption_co2,openness
1990,601.945,666.007,48.2498264500798
1991,609.413,677.034,45.3156600809302
1992,593.846,701.879,46.3059467099097
1993,579.613,660.38,49.7481967801462
1994,574.017,651.189,51.886107010773
1995,566.159,647.734,50.8300766971451
1996,586.761,673.726,52.0576088895797
1997,562.708,661.345,50.7045618383811
1998,568.544,691.94,49.1409088914683
1999,561.65,688.601,49.4683905163429
2000,569.034,739.098,52.3380212335903
2001,577.971,729.478,52.6342367336438
2002,560.273,734.855,51.2361820991323
2003,571.619,763.025,50.0681187039704
2004,573.43,774.668,50.2885521756133
2005,570.338,765.833,52.5442740383211
2006,567.846,766.86,56.7047791729812
2007,559.566,764.976,52.7493524964733
2008,544.932,731.521,56.4365501052604
2009,494.108,641.824,54.6537301085991
2010,511.905,686.866,59.0511802227821
2011,469.713,626.621,63.3240615708901
2012,487.477,640.541,61.9688704472535
2013,477.611,624.81,61.7195395154583
2014,438.807,604.907,58.8210228333296
2015,422.461,597.001,57.125044605439
2016,399.43,582.755,59.8395315138259
2017,387.367,558.336,63.1899245764158
2018,379.73,545.247,64.9097721959201
2019,364.753,524.734,65.0035664177054
2020,326.263,469.892,59.1598893030611
2021,342.366,517.614,58.53838629291
2022,311.118,502.77,69.1989264413981
2023,307.826,487.1,64.9923841747803
